Open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
110710.6796875,110710.6796875,110710.6796875,110710.6796875,1475035136,0.0,0.0,
110666.9296875,110666.9296875,110666.9296875,110666.9296875,0,0.0,0.0,
110666.5078125,110666.5078125,110666.5078125,110666.5078125,0,0.0,0.0,
110664.28125,110664.28125,110664.28125,110664.28125,5857280,0.0,0.0,
110657.8671875,110657.8671875,110657.8671875,110657.8671875,285720576,0.0,0.0,
110678.7578125,110678.7578125,110678.7578125,110678.7578125,60604416,0.0,0.0,
110656.4140625,110656.4140625,110656.4140625,110656.4140625,0,0.0,0.0,
110638.703125,110638.703125,110638.703125,110638.703125,12546048,0.0,0.0,
110689.75,110689.75,110689.75,110689.75,2336583680,0.0,0.0,
110666.7890625,110666.7890625,110666.7890625,110666.7890625,7114752,0.0,0.0,
110684.078125,110684.078125,110684.078125,110684.078125,5242880,0.0,0.0,
110614.3671875,110614.3671875,110614.3671875,110614.3671875,3137536,0.0,0.0,
110551.4296875,110551.4296875,110551.4296875,110551.4296875,0,0.0,0.0,
110590.046875,110590.046875,110590.046875,110590.046875,860860416,0.0,0.0,
110596.765625,110596.765625,110596.765625,110596.765625,28282880,0.0,0.0,
110640.0078125,110640.0078125,110640.0078125,110640.0078125,14024704,0.0,0.0,
110646.15625,110646.15625,110646.15625,110646.15625,0,0.0,0.0,
110663.6484375,110663.6484375,110663.6484375,110663.6484375,1010098176,0.0,0.0,
110695.6875,110695.6875,110695.6875,110695.6875,0,0.0,0.0,
110655.453125,110655.453125,110655.453125,110655.453125,903499776,0.0,0.0,
110652.8359375,110652.8359375,110652.8359375,110652.8359375,0,0.0,0.0,
110626.453125,110626.453125,110626.453125,110626.453125,53977088,0.0,0.0,
110652.53125,110652.53125,110652.53125,110652.53125,0,0.0,0.0,
110636.171875,110636.171875,110636.171875,110636.171875,0,0.0,0.0,
110641.8671875,110641.8671875,110641.8671875,110641.8671875,0,0.0,0.0,
110650.796875,110650.796875,110650.796875,110650.796875,0,0.0,0.0,
110639.640625,110639.640625,110639.640625,110639.640625,895459328,0.0,0.0,
110628.6484375,110628.6484375,110628.6484375,110628.6484375,372736,0.0,0.0,
110654.46875,110654.46875,110654.46875,110654.46875,0,0.0,0.0,
110681.421875,110681.421875,110681.421875,110681.421875,7835648,0.0,0.0,
110662.765625,110662.765625,110662.765625,110662.765625,17494016,0.0,0.0,
110657.8671875,110657.8671875,110657.8671875,110657.8671875,10977280,0.0,0.0,
110672.5,110672.5,110672.5,110672.5,0,0.0,0.0,
110683.5,110683.5,110683.5,110683.5,0,0.0,0.0,
110682.4765625,110682.4765625,110682.4765625,110682.4765625,0,0.0,0.0,
110693.03125,110693.03125,110693.03125,110693.03125,0,0.0,0.0,
110694.3125,110694.3125,110694.3125,110694.3125,0,0.0,0.0,
110758.0859375,110758.0859375,110758.0859375,110758.0859375,8044544,0.0,0.0,
110789.5390625,110789.5390625,110789.5390625,110789.5390625,0,0.0,0.0,
110820.0,110820.0,110820.0,110820.0,28196864,0.0,0.0,
110813.453125,110813.453125,110813.453125,110813.453125,1597616128,0.0,0.0,
110806.890625,110806.890625,110806.890625,110806.890625,0,0.0,0.0,
110788.40625,110788.40625,110788.40625,110788.40625,925151232,0.0,0.0,
110840.6640625,110840.6640625,110840.6640625,110840.6640625,0,0.0,0.0,
110838.09375,110838.09375,110838.09375,110838.09375,0,0.0,0.0,
110851.1015625,110851.1015625,110851.1015625,110851.1015625,0,0.0,0.0,
110872.390625,110872.390625,110872.390625,110872.390625,242860032,0.0,0.0,
110870.2890625,110870.2890625,110870.2890625,110870.2890625,0,0.0,0.0,
110938.921875,110938.921875,110938.921875,110938.921875,38862848,0.0,0.0,
110928.8125,110928.8125,110928.8125,110928.8125,0,0.0,0.0,
110909.2265625,110909.2265625,110909.2265625,110909.2265625,0,0.0,0.0,
110910.65625,110910.65625,110910.65625,110910.65625,119242752,0.0,0.0,
110928.8515625,110928.8515625,110928.8515625,110928.8515625,0,0.0,0.0,
110923.6328125,110923.6328125,110923.6328125,110923.6328125,0,0.0,0.0,
110911.8203125,110911.8203125,110911.8203125,110911.8203125,43360256,0.0,0.0,
110889.1328125,110889.1328125,110889.1328125,110889.1328125,24838144,0.0,0.0,
110887.9140625,110887.9140625,110887.9140625,110887.9140625,45056,0.0,0.0,
110889.8671875,110889.8671875,110889.8671875,110889.8671875,0,0.0,0.0,
110882.890625,110882.890625,110882.890625,110882.890625,24268800,0.0,0.0,
110906.390625,110906.390625,110906.390625,110906.390625,0,0.0,0.0,
110905.9609375,110905.9609375,110905.9609375,110905.9609375,27213824,0.0,0.0,
110891.40625,110891.40625,110891.40625,110891.40625,1568768,0.0,0.0,
110884.9921875,110884.9921875,110884.9921875,110884.9921875,0,0.0,0.0,
110858.703125,110858.703125,110858.703125,110858.703125,0,0.0,0.0,
110857.2578125,110857.2578125,110857.2578125,110857.2578125,15245312,0.0,0.0,
110840.6171875,110840.6171875,110840.6171875,110840.6171875,0,0.0,0.0,
110838.5234375,110838.5234375,110838.5234375,110838.5234375,0,0.0,0.0,
110827.21875,110827.21875,110827.21875,110827.21875,0,0.0,0.0,
110833.5859375,110833.5859375,110833.5859375,110833.5859375,0,0.0,0.0,
110842.7734375,110842.7734375,110842.7734375,110842.7734375,0,0.0,0.0,
110842.5,110842.5,110842.5,110842.5,0,0.0,0.0,
110835.703125,110835.703125,110835.703125,110835.703125,5537792,0.0,0.0,
110835.28125,110835.28125,110835.28125,110835.28125,789217280,0.0,0.0,
110813.96875,110813.96875,110813.96875,110813.96875,1740800,0.0,0.0,
110799.046875,110799.046875,110799.046875,110799.046875,0,0.0,0.0,
110786.6328125,110786.6328125,110786.6328125,110786.6328125,0,0.0,0.0,
110789.3359375,110789.3359375,110789.3359375,110789.3359375,0,0.0,0.0,
110787.96875,110787.96875,110787.96875,110787.96875,0,0.0,0.0,
110776.4453125,110776.4453125,110776.4453125,110776.4453125,0,0.0,0.0,
110791.0234375,110791.0234375,110791.0234375,110791.0234375,0,0.0,0.0,
110819.953125,110819.953125,110819.953125,110819.953125,0,0.0,0.0,
110831.765625,110831.765625,110831.765625,110831.765625,0,0.0,0.0,
110820.828125,110820.828125,110820.828125,110820.828125,0,0.0,0.0,
110816.203125,110816.203125,110816.203125,110816.203125,0,0.0,0.0,
110789.0625,110789.0625,110789.0625,110789.0625,0,0.0,0.0,
110752.234375,110752.234375,110752.234375,110752.234375,0,0.0,0.0,
110757.6015625,110757.6015625,110757.6015625,110757.6015625,0,0.0,0.0,
